WUOA        |-         |DT |6   |ND  |                    |2  |-  |LIC    |TUSCALOOSA               |AL |US |BLCDT  -20090612AHT |26.    kW |-         |395.0   |-       |77496      |N |33 |29 |2.00  |W |86  |48 |21.00 |THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ALABAMA                          |   0.00 km |   0.00 mi |  0.00 deg |586.   m|C       |90049     |-       |1037278 |307.    |1317823   |
WEDY        |-         |DT |6   |ND  |                    |1  |-  |LIC    |NEW HAVEN                |CT |US |BLEDT  -20060906ABJ |0.4    kW |-         |88.0    |-       |13595      |N |41 |19 |42.00 |W |72  |54 |25.00 |CONNECTICUT PUBLIC BROADCASTING, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |130.7  m|H       |42798     |-       |-       |27.     |1146696   |
WCES-TV     |-         |DT |6   |ND  |                    |2  |-  |LIC    |WRENS                    |GA |US |BLEDT  -20090612ACF |7.9    kW |-         |429.4   |-       |23937      |N |33 |15 |33.00 |W |82  |17 |9.00  |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |544.   m|H       |89570     |-       |1018796 |411.5   |1291444   |
WABW-TV     |-         |DT |6   |ND  |                    |3  |-  |LIC    |PELHAM                   |GA |US |BLEDT  -20090612ACC |10.5   kW |-         |378.9   |-       |23917      |N |31 |8  |5.00  |W |84  |6  |16.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |462.4  m|H       |89571     |-       |1018785 |363.3   |1315067   |
KWNB-TV     |-         |DT |6   |ND  |                    |2  |-  |LIC    |HAYES CENTER             |NE |US |BLCDT  -20090604ABL |11.9   kW |-         |221.0   |-       |21162      |N |40 |37 |32.00 |W |101 |1  |45.00 |PAPPAS TELECASTING OF CENTRAL NEBRASKA, L.P. (DE LTD P/SHIP)                |   0.00 km |   0.00 mi |  0.00 deg |1160.  m|H       |91398     |-       |1026527 |165.    |1316012   |
WCIQ        |-         |DT |7   |ND  |                    |2  |-  |LIC    |MOUNT CHEAHA             |AL |US |BLEDT  -20090227AAW |34.8   kW |-         |575.8   |-       |711        |N |33 |29 |6.00  |W |85  |48 |32.00 |ALABAMA EDUCATIONAL TELEVISION COMMISSION                                   |   0.00 km |   0.00 mi |  0.00 deg |878.1  m|H       |87484     |-       |1036421 |162.2   |1291478   |
KAZT-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |PRESCOTT                 |AZ |US |BLCDT  -20090612AEO |3.2    kW |-         |792.0   |-       |35811      |N |34 |41 |15.00 |W |112 |7  |1.00  |KAZT, L.L.C.                                                                |   0.00 km |   0.00 mi |  0.00 deg |2368.  m|H       |85307     |-       |-       |30.     |1317627   |
KETS        |-         |DT |7   |ND  |                    |2  |-  |LIC    |LITTLE ROCK              |AR |US |BLEDT  -20090615ABT |26.73  kW |-         |547.0   |-       |2770       |N |34 |26 |31.00 |W |92  |13 |3.00  |ARKANSAS EDUCATIONAL TELEVISION COMMISSION                                  |   0.00 km |   0.00 mi |  0.00 deg |631.   m|H       |85494     |-       |1036554 |528.    |1312403   |
KAIL        |-         |DT |7   |DA  |                    |2  |-  |LIC    |FRESNO                   |CA |US |BLCDT  -20021002ABH |38.    kW |-         |560.0   |-       |67494      |N |37 |4  |23.00 |W |119 |25 |52.00 |TRANS AMERICA BROADCASTING CORP.                                            |   0.00 km |   0.00 mi |  0.00 deg |1383.  m|H       |29423     |0.      |-       |12.     |614123    |
KRCR-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |REDDING                  |CA |US |BLCDT  -20090622AEG |14.5   kW |-         |1103.0  |-       |8291       |N |40 |36 |10.00 |W |122 |39 |0.00  |BLUESTONE LICENSE HOLDINGS INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |1925.  m|H       |87007     |-       |-       |33.     |1318087   |
